transition_id,year,session_id,car_number,driver_name,team_name,before_attempt_id,after_attempt_id,before_run_index,after_run_index,before_time_utc,after_time_utc,before_time_class,after_time_class,elapsed_between_performance_observations_min,elapsed_semantic,before_four_lap_average_speed_mph,after_four_lap_average_speed_mph,delta_four_lap_average_speed_mph,before_lap1_to_lap4_delta_mph,after_lap1_to_lap4_delta_mph,delta_lap1_to_lap4_shape_mph,before_late_run_fade_mph,after_late_run_fade_mph,delta_late_run_fade_mph,fade_retention_improved,speed_improved,before_ptsc_track_c,after_ptsc_track_c,delta_ptsc_track_c,ptsc_track_change_rate_c_per_min,before_ptsc_ambient_c,after_ptsc_ambient_c,delta_ptsc_ambient_c,ptsc_ambient_change_rate_c_per_min,delta_ptsc_humidity,delta_ptsc_wind,before_forecast_temp_c,after_forecast_temp_c,delta_forecast_temp_c,forecast_temp_change_rate_c_per_min,delta_forecast_relative_humidity_pct,delta_forecast_wind_speed_10m_ms,delta_forecast_gust_ms,delta_forecast_pressure_hpa,delta_forecast_cloud_cover_pct,delta_forecast_shortwave_radiation_wm2,forecast_shortwave_change_rate_wm2_per_min,hrrr_pair_available,ptsc_pair_available,full_environment_pair_available,strategy_before_lane_action,strategy_after_lane_action,performance_dataset_inclusion_depends_on_action
33a57398-b346-53e3-b5e5-369a3ca71efc__TO__b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2020,INDY500_DAY1_2020,9,Scott Dixon,Chip Ganassi Racing,33a57398-b346-53e3-b5e5-369a3ca71efc,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,2,3,2020-08-15T18:00:45Z,2020-08-15T19:15:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,74.250000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,231.053000,231.155000,0.102000,-0.975000,-1.858000,-0.883000,-0.726000,-1.194500,-0.468500,False,True,50.055556,51.111111,1.055556,0.01421624,30.500000,29.444444,-1.055556,-0.01421624,0.009000,-2.950000,29.892553,31.023820,1.131268,0.01523593,-3.299691,-0.148767,0.100728,-0.716250,0.000000,-72.400000,-0.97508418,True,True,True,UNKNOWN,UNKNOWN,False
6992580a-0371-5eda-b01d-2adaca099ff4__TO__5aa71106-e201-5143-bb9a-21ccf4063a9e,2021,INDY500_DAY1_2021,12,Will Power,Team Penske,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,1,2,2021-05-22T17:21:36Z,2021-05-22T21:33:54Z,APPROXIMATE_POINT,APPROXIMATE_POINT,252.300000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.052000,229.228000,0.176000,-0.656000,-0.432000,0.224000,-0.572500,-0.243000,0.329500,True,True,38.333333,45.411111,7.077778,0.02805302,27.777778,30.555556,2.777778,0.01100982,-0.073000,0.420000,26.966145,28.690112,1.723967,0.00683301,-3.995027,-0.370826,-1.272302,-2.922000,-54.240000,-190.805000,-0.75626239,True,True,True,PRIORITY_LANE,UNKNOWN,False
8f660bff-74bd-551e-9007-95b730f87e7d__TO__adc26df0-920d-5dc7-a952-03b3fb57700a,2021,INDY500_DAY1_2021,16,Simona De Silvestro,Paretta Autosport,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,1,2,2021-05-22T18:26:36Z,2021-05-22T21:30:13Z,APPROXIMATE_POINT,APPROXIMATE_POINT,183.616667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,228.173000,228.395000,0.222000,-2.358000,-3.653000,-1.295000,-1.363000,-1.963500,-0.600500,False,True,38.207407,45.547531,7.340123,0.03997526,27.777778,30.555556,2.777778,0.01512814,-0.069856,0.985556,28.011893,28.692510,0.680617,0.00370673,0.653980,-0.577417,-1.053971,-2.398556,-48.346667,-220.209167,-1.19928746,True,True,True,UNKNOWN,UNKNOWN,False
4e9e7c88-ddeb-5840-93be-4f539f6eaf04__TO__4085390f-e83a-5315-8def-464aeb920059,2021,INDY500_DAY1_2021,18,Ed Jones,Dale Coyne Racing with Vasser-Sullivan,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,4085390f-e83a-5315-8def-464aeb920059,1,2,2021-05-22T16:19:56Z,2021-05-22T21:07:57Z,APPROXIMATE_POINT,APPROXIMATE_POINT,288.016667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.246000,231.044000,0.798000,-0.924000,-1.097000,-0.173000,-0.622000,-0.699500,-0.077500,False,True,34.627160,46.338889,11.711728,0.04066337,26.666667,30.000000,3.333333,0.01157340,-0.125300,-0.342222,25.154952,28.764865,3.609913,0.01253369,-17.885090,0.952904,-0.030590,-2.046139,-94.662500,122.768333,0.42625427,True,True,True,UNKNOWN,UNKNOWN,False
c4c9ba22-d28c-5937-b36c-72fffbbb67b5__TO__2493785c-dc47-5ba6-8d28-5398e7a11983,2021,INDY500_DAY1_2021,2,Josef Newgarden,Team Penske,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,1,2,2021-05-22T16:39:06Z,2021-05-22T18:44:56Z,APPROXIMATE_POINT,APPROXIMATE_POINT,125.833333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.049000,230.071000,0.022000,-0.609000,-1.468000,-0.859000,-0.501000,-0.905000,-0.404000,False,True,35.674074,39.439506,3.765432,0.02992396,27.003704,27.777778,0.774074,0.00615158,-0.035733,0.393333,25.981868,28.528421,2.546554,0.02023751,-12.828358,0.201611,-0.628702,-1.294611,-19.084444,139.110000,1.10550993,True,True,True,UNKNOWN,UNKNOWN,False
407a503c-1695-5af6-9b88-28e9d802c8d1__TO__c10dbae2-ca30-5e09-88ab-298fcf7fa163,2021,INDY500_DAY1_2021,21,Rinus VeeKay,ECR,407a503c-1695-5af6-9b88-28e9d802c8d1,c10dbae2-ca30-5e09-88ab-298fcf7fa163,1,2,2021-05-22T16:43:16Z,2021-05-22T18:49:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,126.650000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.841000,231.483000,0.642000,-1.422000,-1.128000,0.294000,-0.968500,-0.744500,0.224000,True,True,35.982716,40.537037,4.554321,0.03595990,27.158025,28.141975,0.983951,0.00776905,-0.027900,0.115556,26.103037,28.597972,2.494935,0.01969945,-12.317959,0.086876,-0.688691,-1.381889,-12.772222,143.489444,1.13296048,True,True,True,UNKNOWN,UNKNOWN,False
8c31470a-6324-527c-bfc3-fe19d8c1dc4d__TO__09935cc4-f542-569f-b50c-7460e0663860,2021,INDY500_DAY1_2021,25,Stefan Wilson,Andretti Autosport,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,09935cc4-f542-569f-b50c-7460e0663860,1,2,2021-05-22T16:29:56Z,2021-05-22T19:06:36Z,APPROXIMATE_POINT,APPROXIMATE_POINT,156.666667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.714000,229.694000,-0.020000,-0.539000,-1.412000,-0.873000,-0.383500,-0.948000,-0.564500,False,False,34.997531,43.511111,8.513580,0.05434200,26.666667,29.133333,2.466667,0.01574468,-0.074400,0.991111,25.508941,28.687147,3.178206,0.02028642,-16.991199,0.738909,0.055823,-1.310556,0.000000,261.523333,1.66929787,True,True,True,UNKNOWN,UNKNOWN,False
09935cc4-f542-569f-b50c-7460e0663860__TO__8ac7badc-828c-5c70-bbf4-d92f136c2564,2021,INDY500_DAY1_2021,25,Stefan Wilson,Andretti Autosport,09935cc4-f542-569f-b50c-7460e0663860,8ac7badc-828c-5c70-bbf4-d92f136c2564,2,3,2021-05-22T19:06:36Z,2021-05-22T21:12:26Z,APPROXIMATE_POINT,APPROXIMATE_POINT,125.833333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.694000,229.632000,-0.062000,-1.412000,-0.980000,0.432000,-0.948000,-0.702500,0.245500,True,False,43.511111,45.840741,2.329630,0.01851361,29.133333,30.000000,0.866667,0.00688742,-0.053889,0.000000,28.687147,28.756213,0.069067,0.00054887,0.663184,0.215258,-0.171755,-0.809722,-95.036111,-205.055556,-1.62958057,True,True,True,UNKNOWN,UNKNOWN,False
e9da8645-6367-51bf-8601-3670e9e76c5e__TO__90108456-7f40-5313-a9ff-43273b65d2f0,2021,INDY500_DAY1_2021,26,Colton Herta,Andretti Global w/ Curb-Agajanian,e9da8645-6367-51bf-8601-3670e9e76c5e,90108456-7f40-5313-a9ff-43273b65d2f0,1,2,2021-05-22T18:12:27Z,2021-05-22T20:25:16Z,APPROXIMATE_POINT,APPROXIMATE_POINT,132.816667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,231.648000,230.229000,-1.419000,-1.424000,-1.277000,0.147000,-0.937500,-0.788000,0.149500,True,False,37.777778,48.333333,10.555556,0.07947463,27.683333,30.380247,2.696914,0.02030554,-0.054856,1.461111,27.942981,28.732696,0.789714,0.00594590,-6.323952,0.191325,-0.115698,-1.389444,-30.741111,-82.196389,-0.61887104,True,True,True,UNKNOWN,UNKNOWN,False
099ab32a-d351-5011-931c-148b9f3d7921__TO__a5d8e516-48e0-58b8-ac13-213c753fc12d,2021,INDY500_DAY1_2021,4,Dalton Kellett,A.J. Foyt Enterprises,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,1,2,2021-05-22T17:44:56Z,2021-05-22T21:46:39Z,APPROXIMATE_POINT,APPROXIMATE_POINT,241.716667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.250000,228.323000,-0.927000,-0.920000,-0.515000,0.405000,-0.617000,-2.071500,-1.454500,False,False,38.333333,44.816667,6.483333,0.02682204,27.777778,30.372222,2.594444,0.01073341,-0.069956,-0.674444,27.666596,28.681812,1.015216,0.00420002,-1.977069,-0.208120,-1.272370,-2.464778,-74.640000,-302.141944,-1.24998391,True,True,True,UNKNOWN,UNKNOWN,False
11be8bd4-5c39-5bd2-b24f-b6c87f0d885a__TO__fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2021,INDY500_DAY1_2021,47,Conor Daly,ECR,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,1,2,2021-05-22T17:49:06Z,2021-05-22T19:55:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,126.816667,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.427000,230.273000,-0.154000,-0.904000,-1.508000,-0.604000,-0.593500,-0.955500,-0.362000,False,False,38.181481,46.919753,8.738272,0.06890476,27.625926,29.444444,1.818519,0.01433974,-0.054556,-1.000000,27.726262,28.572870,0.846608,0.00667584,-6.547068,0.251215,-0.082653,-1.706750,-5.240278,-48.128611,-0.37951330,True,True,True,UNKNOWN,UNKNOWN,False
7d5d82b7-9765-51c9-b149-cb7de00d3905__TO__8ff02437-bce9-5d86-b3c7-906d93963538,2021,INDY500_DAY1_2021,60,Jack Harvey,Meyer Shank Racing,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,1,2,2021-05-22T17:58:16Z,2021-05-22T19:02:24Z,APPROXIMATE_POINT,APPROXIMATE_POINT,64.133333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,225.496000,230.191000,4.695000,-6.774000,-0.460000,6.314000,-3.236500,-0.293000,2.943500,True,True,37.841975,43.044444,5.202469,0.08111958,27.286420,28.977778,1.691358,0.02637253,-0.021600,-1.000000,27.857528,28.719955,0.862427,0.01344741,-5.016539,-0.265414,-0.378085,-0.824222,0.000000,47.244444,0.73665974,True,True,True,UNKNOWN,UNKNOWN,False
4bfd7a23-3f35-5bcf-9655-c286d7ee30ed__TO__595096e7-98a7-552c-a5f8-f2f3eeb54d68,2021,INDY500_DAY1_2021,7,Felix Rosenqvist,Arrow McLaren,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,1,2,2021-05-22T17:35:46Z,2021-05-22T21:21:31Z,APPROXIMATE_POINT,APPROXIMATE_POINT,225.750000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,230.498000,230.744000,0.246000,-0.544000,-0.882000,-0.338000,-0.407500,-0.614500,-0.207000,False,True,38.333333,45.555556,7.222222,0.03199213,27.777778,30.241358,2.463580,0.01091287,-0.073844,-1.181111,27.535331,28.738685,1.203354,0.00533047,-6.835474,0.203793,-0.541268,-1.918583,-95.793056,-224.718333,-0.99543005,True,True,True,UNKNOWN,UNKNOWN,False
11bd473d-0cf3-56e2-9aa9-fb4487870c59__TO__f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2021,INDY500_DAY1_2021,86,Juan Pablo Montoya,Arrow McLaren,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,1,2,2021-05-22T17:11:36Z,2021-05-22T21:02:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,231.150000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.891000,229.737000,-0.154000,-1.739000,-1.427000,0.312000,-1.249500,-0.949500,0.300000,True,False,37.955556,46.916667,8.961111,0.03876752,27.651852,30.000000,2.348148,0.01015855,-0.078633,0.773333,26.791844,28.774900,1.983056,0.00857909,-7.188021,-0.152316,-0.885900,-2.269250,-94.229167,-74.458333,-0.32212128,True,True,True,UNKNOWN,UNKNOWN,False
c2deab22-d3a0-5601-80f8-4cbf631c8f88__TO__b671a083-ccd6-5511-a882-53e7bf202c19,2021,INDY500_DAY1_2021,98,Marco Andretti,Andretti Herta w/ Marco & Curb-Agajanian,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,1,2,2021-05-22T16:05:46Z,2021-05-22T18:54:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,169.150000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.261000,229.872000,0.611000,-1.301000,-1.767000,-0.466000,-0.963000,-1.125500,-0.162500,False,True,34.444444,41.648148,7.203704,0.04258767,25.982716,28.512346,2.529630,0.01495495,-0.078922,-0.384444,24.653468,28.667756,4.014288,0.02373212,-20.952507,0.835384,0.391366,-1.070667,-6.438889,445.028333,2.63096857,True,True,True,UNKNOWN,UNKNOWN,False
b671a083-ccd6-5511-a882-53e7bf202c19__TO__cb6ab391-510a-562a-a1bc-a173959477a0,2021,INDY500_DAY1_2021,98,Marco Andretti,Andretti Herta w/ Marco & Curb-Agajanian,b671a083-ccd6-5511-a882-53e7bf202c19,cb6ab391-510a-562a-a1bc-a173959477a0,2,3,2021-05-22T18:54:55Z,2021-05-22T21:25:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,150.583333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,229.872000,229.870000,-0.002000,-1.767000,-0.827000,0.940000,-1.125500,-0.596500,0.529000,True,False,41.648148,45.555556,3.907407,0.02594847,28.512346,30.388889,1.876543,0.01246183,-0.063389,0.700000,28.667756,28.730998,0.063242,0.00041998,-1.031207,0.353273,-0.156119,-0.910278,-89.686111,-299.241667,-1.98721638,True,True,True,UNKNOWN,UNKNOWN,False
55b6b39a-d64a-5a38-9dbc-84a9faac294b__TO__dd0ff96a-0d57-5ba5-8691-ebf2359edec4,2023,INDY500_DAY1_2023,11,Takuma Sato,,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,1,2,2023-05-20T16:51:32Z,2023-05-20T19:48:58Z,APPROXIMATE_POINT,APPROXIMATE_POINT,177.433333,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,232.857000,233.322000,0.465000,-1.676000,-1.306000,0.370000,-1.061000,-1.057500,0.003500,True,True,40.483951,44.444444,3.960494,0.02232102,17.150617,18.888889,1.738272,0.00979676,-0.031644,0.113333,17.841793,18.675352,0.833559,0.00469787,1.249484,1.280710,1.691328,-0.491889,12.244444,-140.585333,-0.79232763,True,True,True,UNKNOWN,UNKNOWN,False
dda33fdd-49c8-5082-a03d-252bf1a6fa49__TO__f9f206a7-b2ab-5eb9-8805-0d279c65164d,2023,INDY500_DAY1_2023,27,Kyle Kirkwood,,dda33fdd-49c8-5082-a03d-252bf1a6fa49,f9f206a7-b2ab-5eb9-8805-0d279c65164d,1,2,2023-05-20T17:14:58Z,2023-05-20T19:17:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,122.200000,BETWEEN_PERFORMANCE_OBSERVATIONS_NOT_QUEUE_WAIT,232.390000,232.617000,0.227000,-1.174000,-1.289000,-0.115000,-0.853000,-0.810000,0.043000,True,True,42.219753,44.524691,2.304938,0.01886202,17.777778,18.413580,0.635802,0.00520297,-0.011444,2.431111,18.170627,18.915997,0.745370,0.00609959,0.926848,0.517709,0.746140,-1.303111,10.178333,-68.254444,-0.55854701,True,True,True,UNKNOWN,UNKNOWN,False
